 RNO,ID,TI,Author Keywords,Keywords Plus
307,602410,Three problems in computer science,,LOGICS
308,602411,Classical physics and the Church-Turing thesis,,EXISTENCE
309,602222,Query evaluation via tree-decompositions,algorithms; languages; theory; acyclic conjunctive queries; combined complexity; hypergraphs; monadic second-order logic; tree-width,DECOMPOSABLE GRAPHS; COMPLEXITY
310,602223,Cosmological lower bound on the circuit complexity of a small problem in logic,theory; circuit complexity; computational complexity; decision problem; logic; lower bound; practical undecidability; WS1S,BOOLEAN FUNCTIONS; COMPUTATIONAL-COMPLEXITY; SIZE; TIME; MACHINES; SETS
311,602224,Correctness properties in a shared-memory parallel language,languages; theory; verification; parallel computing,CONCURRENT
312,602225,Towards a theory of cache-efficient algorithms,algorithms; theory; hierarchical memory; I/O complexity; lower bound,MEMORY HIERARCHIES; MODEL
313,585266,Truth revelation in approximately efficient combinatorial auctions,algorithms; design; theory; combinatorial auctions; computational complexity; mechanism design,
314,585267,The greedy path-merging algorithm for Contig Scaffolding,algorithms; experimentation; genome assembly,DNA
315,585268,Approximation algorithms for classification problems with pairwise relationships: Metric labeling and Markov random fields,algorithms; theory; approximation algorithms; classification; Markov random fields; metric labeling,
316,585269,On the online bin packing problem,algorithms; design; theory; bin packing; online algorithms,ALGORITHMS
317,585270,Alternating-time temporal logic,theory; verification; alternation; games; model checking; temporal logic,MODEL CHECKING; PARITY GAMES; MU-CALCULUS; SYSTEMS; SPECIFICATIONS
318,581772,Qualitative-decision theory: From savage's axioms to nonmonotonic reasoning,theory; comparative uncertainty; decision theory; nonmonotonic reasoning; possibility theory; preference relations; qualitative decision theory,PROBABILISTIC SEMANTICS; CONDITIONAL OBJECTS; PREFERENCE; UTILITY; LOGICS
319,581773,Dense quantum coding and quantum finite automata,theory; automaton size; communication complexity; encoding; finite automata; quantum communication; quantum computation,
320,581774,On the complexity analysis of static analyses,algorithms; languages; theory; algorithms; complexity analysis; logic programming; models of computation; program analysis; programming languages,EFFICIENT INFERENCE; FLOW-ANALYSIS; UNIFICATION
321,581775,Formal verification of standards for distance vector routing protocols,design; reliability; theory; verification; formal verification; routing protocols; network standards; distance vector routing; RIP; AODV; interactive theorem proving; HOL; model checking; SPIN,MODEL
322,567114,All Pairs Shortest Paths using bridging sets and rectangular matrix multiplication,algorithms; theory; matrix multiplication; shortest paths,INTEGER LENGTH EDGES; ALL-PAIRS; TRANSITIVE-CLOSURE; ALGORITHMS; GRAPHS; TIME
323,567116,Compactly encoding unstructured inputs with differential compression,algorithms; experimentation; performance; theory; delta compression; differencing; differential compression,
324,567117,On XML integrity constraints in the presence of DTDs,algorithms; design; languages; theory; consistency; DTDs; implication; integrity constraints; XML,
325,567113,Paradoxes in distributed decisions on optimal load balancing for networks of homogeneous computers,management; performance; theory; Braess paradox; distributed decision; homogeneous distributed system; load balancing; Nash equilibrium; noncooperative game; performance optimization; Wardrop equilibrium,NONCOOPERATIVE NETWORKS; QUEUING NETWORK; BRAESSS PARADOX; SYSTEMS
326,567115,Tight bounds on cache use for stencil operations on rectangular grids,algorithms; performance; theory; cache memory; cache misses; fundamental parallelepiped; lattice; lower and upper bounds; reduced basis; scientific computing; structured grids,
327,506148,Map graphs,algorithms; theory; map graphs; maps; topological inference,
328,506149,Polynomial-time approximation schemes for geometric min-sum median clustering,algorithms; theory; clustering; high-dimensional data; polynomial-time approximation schemes,OPTIMIZATION; INFORMATION; ALGORITHMS; RETRIEVAL
329,506150,On the closest string and substring problems,algorithms; theory; closest string and substring; computer applications; polynomial-time approximation scheme,ALIGNMENT; CONSENSUS; PRIMERS; SEQUENCES; PROGRAM; DESIGN
330,506151,Timed regular expressions,languages; theory; Kleene theorem; timed automata; timed languages,HYBRID SYSTEMS; AUTOMATA
331,506152,Understanding TCP Vegas: A duality model,algorithms; performance; theory; persistent congestion; REM; TCP congestion control; TCP Vegas,OPTIMIZATION FLOW-CONTROL; CONGESTION AVOIDANCE; NETWORKS; PERFORMANCE; ALGORITHM; STABILITY
332,506153,How bad is selfish routing?,algorithms; economics; theory; Braess's Paradox; Nash equilibria; network flow; selfish routing,BRAESS PARADOX; TRAFFIC EQUILIBRIUM; ASSIGNMENT PROBLEM; NETWORK; ALLOCATION; PREVALENCE
333,506154,Task assignment with unknown duration,clusters; contrary behavior; distributed servers; fairness; heavy-tailed workloads; high variance; job scheduling; load balancing; load sharing; supercomputing; task assignment,TIMES
334,505242,Fast context-free grammar parsing requires fast Boolean matrix multiplication,algorithms; theory; Boolean matrix multiplication; context-free grammar parsing,ALGORITHM
335,505243,An optimal minimum spanning tree algorithm,algorithms; theory; graph algorithms; minimum spanning tree; optimal complexity,LINEAR-TIME; VERIFICATION; COMPLEXITY
336,505244,On a model of indexability and its bounds for range queries,theory; database; index; indexability; lower bounds; multidimensional; query; redundancy,ACCESS METHODS; MEMORY; TREES
337,505245,Expressiveness of structured document query languages based on attribute grammars,languages; theory; attribute grammars; automata; complexity; logic; structured documents,LOGIC
338,505246,Bounded concurrent timestamp systems using vector clocks,"algorithms; theory; verification; concurrent reading while writing; label; nonatomic operation execution; operation-read and write; labeling and scan; operation execution; shared variable-safe, regular and atomic; timestamp system, raceability, vector clock, wait-freedom",ATOMIC SHARED VARIABLES; INTERPROCESS COMMUNICATION; PROGRAMMING PROBLEM; TIME; CONSTRUCTIONS; MULTIWRITER; REGISTERS
339,504795,"Monotonic reductions, representative equivalence, and compilation of intractable problems",algorithms; theory; compilability; preprocessing,COMPUTATIONAL-COMPLEXITY; KNOWLEDGE COMPILATION; DIAGNOSIS; ABDUCTION; ALGORITHM
340,504796,A Laplace transform algorithm for the volume of a convex polytope,algorithms; computational geometry; convex polytope; Laplace transform; volume of a convex polytope,COMPLEXITY; POLYHEDRON
341,504797,Managing periodically updated data in relational databases: A stochastic modeling approach,theory; data obsolescence; database replication management; obsolescence cost; stochastic modeling,SYSTEM
342,504798,Deciding first-order properties of locally tree-decomposable structures,algorithms; theory; first-order logic; locality; model-checking; parameterized complexity; planar graphs; query evaluation; tree-width,GRAPH MINORS; TREEWIDTH; WIDTH
343,504799,Register-machine based processes,theory; bisimulation equivalence; computability; concurrency; expressivity; iteration; Kleene star; process algebra; push-down operation,COMPLETE EQUATIONAL AXIOMATIZATION; PREFIX ITERATION; PROCESS ALGEBRA; BISIMULATION; ABSTRACTION; SEMANTICS
344,502103,A model of multimedia information retrieval,description logics; fuzzy logics; multimedia information retrieval,IMAGE RETRIEVAL; RELEVANCE FEEDBACK; DESCRIPTION LOGICS; DOCUMENTS; SYSTEMS; PERSPECTIVE; SIMILARITY; DATABASES; COLOR; SHAPE
345,502104,Static analysis in datalog extensions,algorithms; theory; verification,
346,502105,Improved implementations of binary universal operations,asynchronous shared-memory systems; contention-sensitive algorithms; deterministic coin tossing; load-linked/store-conditional operations; universal operations; wait-free algorithms,OBJECTS; SYNCHRONIZATION; CONTENTION; ALGORITHMS; MEMORY
347,502106,Interval arithmetic: From principles to implementation,algorithms; reliability; theory; verification,
348,502107,A unified approach to approximating resource allocation and scheduling,approximation algorithms for NP-hard problems; dynamic storage allocation; general caching; resource allocation; scheduling,ALGORITHM
349,502091,Decomposable negation normal form,algorithms; languages; boolean functions; knowledge compilation; model-based diagnosis; propositional logic; satisfiability,MODEL-BASED DIAGNOSIS; KNOWLEDGE COMPILATION; BOOLEAN MANIPULATION; ALGORITHMS; COMPLEXITY; TREE
350,502092,Plausibility measures and default reasoning,theory; conditional logic; default reasoning; epsilon-semantics; kappa-rankings; plausibility measures; possibility measures; preferential orderings nonmonotonic inference,LOGICS
351,502093,"An efficient algorithm for image segmentation, Markov random fields and related problems",algorithms; convex optimization; Markov random fields; parametric minimum cut; strongly polynomial algorithms,MAXIMUM-FLOW PROBLEM; OPTIMIZATION
352,502094,Efficient generation of shared RSA keys,security; multiparty computation; primality testing; RSA; threshold cryptography,SECURE COMPUTATION; CRYPTOSYSTEMS; PRIMALITY; SCHEME
353,502095,"Poly-logarithmic deterministic fully-dynamic algorithms for connectivity, minimum spanning tree, 2-edge, and biconnectivity",algorithms; biconnectivity; connectivity; dynamic graph algorithms; minimum spanning tree; 2-edge connectivity,GRAPH ALGORITHMS; ONLINE
354,502096,A combinatorial strongly polynomial algorithm for minimizing submodular functions,algorithms; discrete optimization; strongly polynomial algorithm; submodular function,PARTITIONED MATRICES; FLOWS; OPTIMIZATION; MEMBERSHIP; THEOREM; GRAPHS
355,502097,Quantum lower bounds by polynomials,theory; algorithms; performance; quantum computing; query complexity; black-box model; lower bounds; polynomial method,COMPUTATION; ALGORITHMS; COMPLEXITY; COMPUTER; MAJORITY; POWER
356,502098,Some optimal inapproximability results,theory; inapproximability; linear equations; max-sat; NP-hard optimization problems; probabilistically checkable proofs,APPROXIMATION ALGORITHMS; VERTEX COVER; APPROXIMABILITY; COMPLEXITY; HARDNESS; PROOFS; SET; NP
357,502099,Extractors and pseudorandom generators,theory; error-correcting codes; extractors; pseudorandomness,WEAK RANDOM SOURCES; SEQUENCES; BITS
358,502100,Logics with aggregate operators,languages; theory; aggregation; database; expressive power; locality; relational calculus,QUERY LANGUAGES; COLLECTION TYPES; FINITE-MODELS; QUANTIFIERS; LOCALITY; FORMS
359,,Becoming the preferred publisher,,
360,382781,Unconditional security in quantum cryptography,security; quantum cryptography; quantum information theory; unconditional security,PRIVACY AMPLIFICATION
361,382782,An analysis of the Burrows-Wheeler Transform,algorithms; performance; block sorting; Burrows-Wheeler Transform; move-to-front encoding; worst-case analysis of compression,DATA-COMPRESSION SCHEME; PPM
362,382783,The complexity of acyclic conjunctive queries,theory; acyclic hypergraph; algorithm; bounded treewidth; conjunctive query; constraint; constraint satisfaction problem; CSP; database theory; degree of cyclicity; hinge; join tree; LOGCFL; parallel algorithm; query containment; query-width; subsumption; tree query,FAST PARALLEL ALGORITHMS; CONSTRAINT SATISFACTION; RELATIONAL QUERIES; DATABASE SCHEMES; CHORDAL GRAPHS; TREE-WIDTH; HYPERGRAPHS; SPACE; COMPLEMENTATION; PROJECTIONS
363,382784,Simplifying fault-tolerance: Providing the abstraction of crash failures,algorithms; reliability; theory; crash failures; fault-tolerance; translations,BYZANTINE AGREEMENT; COMMON KNOWLEDGE; ALGORITHMS
364,382785,A modal analysis of staged computation,languages; theory; binding times; run-time code generation; staged computation,LOGIC; RECURSION
365,375835,Short proofs are narrow - Resolution made simple,algorithms; theory,HARD EXAMPLES
366,375837,Improved master theorems for divide-and-conquer recurrences,algorithms; measurement; performance; asymptotic analysis; divide-and-conquer; master theorem,
367,375840,Convex quadratic and semidefinite programming relaxations in scheduling,algorithms; theory; approximation algorithms; convex optimization; performance guarantee; randomized algorithms; scheduling theory; unrelated machines; worst-case ratio,IMPROVED APPROXIMATION ALGORITHMS; AVERAGE COMPLETION-TIME; PARALLEL MACHINES; COMBINATORIAL OPTIMIZATION; RELEASE DATES; BOUNDS; CUT
368,375843,On-line analysis of the TCP acknowledgment delay problem,algorithms; acknowledgment delay problem; competitive analysis; internet traffic simulations; lookahead; Transmission Control Protocol (TCP),ALGORITHMS
369,375845,Approximation algorithms for metric facility location and k-median problems using the primal-dual schema and Lagrangian relaxation,algorithms; theory; approximation algorithms; facility location problem; k-median problem; Lagrangian relaxation; linear programming,PLANT
370,375847,Concurrent threads and optimal parallel minimum spanning trees algorithm,algorithms; connected components; EREW PRAM; minimum spanning trees; parallel algorithms,EFFICIENT; NETWORK; GRAPHS
371,375849,A general approach to dynamic packet routing with bounded buffers,algorithms; theory,
372,363652,Dynamic planar convex hull operations in near-logarithmic amortized time,computational geometry; convex hulls; dynamic data structures,ORDER VORONOI DIAGRAMS; CONFIGURATIONS; ARRANGEMENTS; MAINTENANCE; ALGORITHMS
373,363659,Adversarial queuing theory,packet routing; stability; scheduling protocols,NETWORK DELAY; FLUID MODELS; STABILITY; CONVERGENCE; CALCULUS; DRIFT; TIME
374,363677,Universal-stability results and performance bounds for greedy contention-resolution protocols,adversarial queueing theory; end-to-end delay; network stability; packet scheduling,NETWORK DELAY; GRAPH MINORS; CALCULUS
375,363681,Automated complexity analysis based on ordered resolution,automated theorem proving; complexity analysis; first-order theories; ordered resolution,
376,363688,Lattice computers for approximating euclidean space,,CELLULAR AUTOMATA; ROOT LATTICES; COMPUTATION; PHYSICS
377,363697,Erratum: A counterexample to W. Bibel's and E. Eder's strong completeness result for connection graph resolution,computational logic; mathematical logic; mechanical theorem proving,
378,355542,Minimizing stall time in single and parallel disk systems,algorithms; design; performance; approximation algorithms; caching algorithms; prefetching,ALGORITHMS
379,355547,On the sorting-complexity of suffix tree construction,algorithms; design; theory; DAM model; external-memory data structures; RAM model; sorting complexity; suffix array; suffix tree,MEMORY; ALGORITHMS
380,355554,The soft heap: An approximate priority queue with optimal error rate,theory; amortization; heap; priority queue; soft heap,
381,355562,A minimum spanning tree algorithm with Inverse Ackermann type complexity,theory; graphs; matroids; minimum spanning trees,LINEAR-TIME; VERIFICATION
382,355567,Contention resolution with constant expected delay,Probability Theory; contention resolution; ethernet; Markov chains; multiple-access channel,MULTIPLE-ACCESS CHANNELS; COMMUNICATION
383,355485,Building tractable disjunctive constraints,algorithms; theory; complexity; constraint satisfaction problem; disjunctive constraints; independence; NP-completeness; relations,CONSISTENCY; NETWORKS; SATISFACTION; ALGORITHM; CLOSURE
384,355486,A neuroidal architecture for cognitive computation,algorithms; theory; cognitive computation; computational learning; learning relations; nonmonotonic reasoning; PAC learning; robust reasoning,POLYNOMIAL-TIME; EXAMPLES
385,355487,Sliver exudation,algorithms; algorithms; computational geometry; mesh generation; mesh quality; slivers; tetrahedral meshes; (weighted) Delaunay triangulations,MESH GENERATION; DELAUNAY; TRIANGULATIONS
386,355488,A lower bound on the average-case complexity of shellsort,algorithms; performance; theory; average-case complexity; computational complexity; Kolmogorov complexity; shellsort; sorting,
387,355489,Tight bounds for k-set agreement,algorithms; design; performance; reliability; theory; crash failure model; k-set agreement; message-passing systems; Sperner's Lemma; synchronous systems; topology,COMMON KNOWLEDGE; BYZANTINE; CONSENSUS; FAULTS
388,355484,A bill of rights and responsibilities,,
389,355490,Periodification scheme: Constructing sorting networks with constant period,algorithms; design; comparator network,COMPLEXITY
390,347478,Divide-and-conquer approximation algorithms via spreading metrics,approximation algorithms; divide and conquer; feedback set; linear arrangement; multicut; spreading metrics,GRAPHS; MULTICUTS; LAYOUT
391,347479,Speed is as powerful as clairvoyance,resource augmentation; scheduling; multi-level feedback scheduling,ONLINE
392,347477,Relational queries over interpreted structures,collapse results; constraints; O-minimality; relational calculus; quantifier elimination,FIRST-ORDER QUERIES; DATABASE QUERIES; EXPRESSIVE POWER; POLYNOMIAL-TIME; 0-1 LAWS; LANGUAGES; COMPLEXITY; LOGIC; EXTENSIONS
393,347480,Complexity of finite-horizon Markov decision process problems,computational complexity; Markov decision processes; NP; NP(PP); partially observable Markov decision processes; PL; PSPACE; succinct representations,COMPUTATIONAL-COMPLEXITY; SUCCINCT REPRESENTATIONS; GRAPHS; HARD; PP
394,347481,Orthologic and quantum logic: Models and computational elements,Hilbert spaces; quantum computing; quantum logic; quantum physics,
395,347482,Balanced sequences and optimal routing,balanced sequences; multimodularity; optimal control; stochastic event graphs,POLICIES
396,347484,A needed narrowing strategy,call-by-need; functional logic programming languages; narrowing strategies; rewrite systems,FUNCTIONAL LOGIC LANGUAGES; DEFINITIONAL TREES; PROGRAMS; IMPLEMENTATION; BACKTRACKING; COMPLETENESS; CALCULUS; SYSTEMS
397,337247,A subdivision-based algorithm for the sparse resultant,asymptotic complexity; effective Nullstellensatz; mixed volume; multivariate resultant; Newton polytope; polyhedral subdivision; sparse elimination theory,POLYNOMIAL SYSTEMS; COMPLEXITY; ELIMINATION
398,337251,An axiomatic treatment of three qualitative decision criteria,agent models; choice theory; foundations of online algorithms; qualitative decision theory,BELIEF NETWORKS; KNOWLEDGE
399,337255,The expressibility of languages and relations by word equations,word equations,
400,337257,Learning functions represented as multiplicity automata,computational learning; DNF; learning disjoint; DNF; learning polynomials; multiplicity automata,SPARSE MULTIVARIATE POLYNOMIALS; DECISION TREES; FINITE-FIELDS; DNF FORMULAS; ALGORITHMS; QUERIES; INTERPOLATION; COUNTEREXAMPLES
401,337261,Behavioral equivalence in the polymorphic pi-calculus,abstract data types; pi-calculus,MOBILE PROCESSES
402,333980,Eavesdropping games: A graph-theoretic approach to privacy in distributed systems,,SEARCH
403,333982,The fault span of crash failures,,CONNECTION MANAGEMENT; PROTOCOL
404,333984,"An O(log(n)(4/3)) space algorithm for (s, t) connectivity in undirected graphs",computational complexity; derandomization; short pseudorandom walks on graphs; space bounded computations; undirected graph connectivity,
405,333987,An automata-theoretic approach to branching-time model checking,,PROPOSITIONAL MU-CALCULUS; TEMPORAL LOGIC; ALTERNATION; PROGRAMS
406,333989,Making abstract interpretations complete,abstract domain; abstract interpretation; complete core; complete shell; completeness; fixpoint completeness; integer interval analysis; logic program analysis,LOGIC PROGRAMS; DEPENDENCY ANALYSIS; STRICTNESS ANALYSIS; FLOW-ANALYSIS; SYSTEMS; VERIFICATION; SEMANTICS; CLOSURES; DOMAINS; POWER
407,331606,The harmonic k-server algorithm is competitive,,
408,331607,Parallel RAMs with owned global memory and deterministic context-free language recognition,CROW-PRAM; DCFL recognition; owner write; parallel algorithms,RANDOM-ACCESS MACHINES; PRAMS; TIME; SIMULATION; CFLS
409,331608,Minimum cuts in near-linear time,connectivity; min-cut; Monte Carlo algorithm; optimization; tree packing,EDGE-CONNECTIVITY; ALGORITHM; GRAPH; NUMBER; TREES
410,331609,Existential second-order logic over strings,finite model theory; second-order logic; existential fragment; prefix classes; model checking; finite words; strings; regular languages; S1S; descriptive complexity; NP; decision problem; finite satisfiability,2ND-ORDER LOGIC; FINITE STRUCTURES; GRAPH CONNECTIVITY; COMPLEXITY CLASSES; EXPRESSIVE POWERS; MONADIC NP; APPROXIMATION; LANGUAGES; OPTIMIZATION; QUANTIFIERS
411,331610,Polylog-time and near-linear work approximation scheme for undirected shortest paths,,PARALLEL; ALGORITHMS
412,331611,From Algol to polymorphic linear lambda-calculus,linear logic; local state; logical relations; parametric polymorphism,VARIABLES
413,331526,Multicommodity max-flow min-cut theorems and their use in designing approximation algorithms,approximation algorithms; divide and conquer; graph bisection; graph partitioning; maximum flow; minimum cut; muticommodity flow; routing; VLSI layout,FORWARDING INDEXES; PLANAR GRAPHS; MULTICUTS; NETWORKS; CIRCUITS
414,331528,Analysis of a bounding box heuristic for object intersection,aspect ratio; bounding box; collision detection; scale factor,
415,331529,The topological structure of asynchronous computability,algebraic topology; asynchronous distributed computation; decision tasks; distributed computing; homology; simplicial complex; wait-free algorithms,
416,331530,Approximation in stochastic scheduling: The power of LP-based priority policies,approximation; asymptotic optimality; LP-relaxation; priority policy; stochastic scheduling; worst-case performance; WSEPT rule,EXPONENTIAL SERVICE TIMES; AVERAGE COMPLETION-TIME; PARALLEL MACHINES; FLOW-TIME; MINIMIZE; TASKS; PROCESSORS; OPTIMALITY
417,324139,"Purely functional, real-time deques with catenation",catenation; data structures; double-ended queue; persistent data structures; purely functional data structures; purely functional queues; queue; stack,PERSISTENT; LISTS; SEARCH; HEAP
418,324140,Authoritative sources in a hyperlinked environment,graph algorithms; hypertext structure; link analysis; World Wide Web,COMPOSITE REPRESENTATIONS; CO-CITATION; JOURNALS; SUBJECT
419,324161,Simple and efficient bounded concurrent timestamping and the traceable use abstraction,distributed computing; distributed timestamps; fault-tolerant computing; shared memory; timestamping systems; traceable-use; wait-free algorithms,INTERPROCESS COMMUNICATION; ATOMIC SNAPSHOTS
420,324179,Linear hash functions,hashing via linear maps; universal hashing,ALGORITHM
421,324221,Sample-efficient strategies for learning in the presence of noise,learning with malicious noise; PAC learning,PROBABILISTIC CONCEPTS; NUMBER
422,324234,Scheduling multithreaded computations by work stealing,algorithms; performance; theory,PARALLEL PROGRAMS
423,324266,Secrecy by typing in security protocols,cryptographic protocols; process calculi; secrecy properties,CRYPTOGRAPHIC PROTOCOLS; MOBILE PROCESSES; AUTHENTICATION; CALCULUS
424,320212,Efficient algorithms for inverting evolution,,PHYLOGENIES; INFERENCE; TREES
425,320213,Primality testing using elliptic curves,distribution of primes; elliptic curves; group theory; Las Vegas algorithms; primes; prime certification; prime generation,
426,320214,On the efficiency of pairing heaps and related data structures,amortized complexity analysis; Fibonacci heaps; lower bounds; priority queues; self-adjusting data structures,
427,320215,Randomized fully dynamic graph algorithms with polylogarithmic time per operation,connectivity; dynamic graph algorithms,MINIMUM SPANNING-TREES; SPARSIFICATION; BICONNECTIVITY; CONNECTIVITY
428,320232,Mutual search,coalition forming; computational complexity; computer networks; datastructures; discrete algorithms; distributed computation; mutual search,DISTRIBUTED MATCH-MAKING; ALGORITHM
429,320240,New results on quantifier elimination over real closed fields and applications to constraint databases,,SEMI-ALGEBRAIC SETS; TIGHT UPPER-BOUNDS; QUERY LANGUAGES; LOWER ENVELOPES; 3 DIMENSIONS; SINGLE-CELL; COMPLEXITY; COMBINATORIAL
430,320243,Finding circular attributes in attribute grammars,attribute grammar; circularity problem; computational complexity,INTRINSICALLY EXPONENTIAL COMPLEXITY; SIMPLER CONSTRUCTION
431,325358,"Editorial: Taking stock (vol 46, pg 323, 1999)",,
432,316545,Some contributions to the metatheory of the situation calculus,programming languages for the situation calculus; regression; situation calculus; theorem-proving,LOGIC
433,316548,Undirected single-source shortest paths with positive integer weights in linear time,RAM algorithms; shortest paths,SET UNION; ALGORITHMS; TREES
434,316550,A fast bit-vector algorithm for approximate string matching based on dynamic programming,approximate string search; bit-parallelism; sequence comparison,
435,316551,Generation of universal series-parallel Boolean functions,FPGA; series-parallel Boolean functions; technology mapping; universal functions,DESIGN
436,,Editorial: Taking stock,,
437,301971,The computational complexity of knot and link problems,computational complexity; knot theory; three-dimensional topology,3-MANIFOLDS; INVARIANT; WALKS
438,301972,Reconstructing a three-dimensional model with arbitrary errors,biomolecular structure; distance geometry; random sampling; randomized algorithms,RELAXATION; H-1-NMR
439,301973,The string B-tree: A new data structure for string search in external memory and its applications,B-tree; external-memory data structure; Patricia trie; prefix and range search; string searching and sorting; suffix array; suffix tree; text index,DATA-COMPRESSION; ALGORITHM; ACCESS; TIME
440,301974,Provably efficient scheduling for languages with fine-grained parallelism,,MEMORY; TIME
441,300516,Transforming cabbage into turnip: Polynomial algorithm for sorting signed permutations by reversals,computational biology; genetics,GENOME REARRANGEMENTS; DISTANCE
442,300517,Fully dynamic planarity testing with applications,dynamic graph algorithms; planar graphs; planarity testing,MINIMUM SPANNING-TREES; TRANSITIVE CLOSURES; SEPARATOR THEOREM; GRAPH ALGORITHMS; CONNECTIVITY; ONLINE; MAINTENANCE; SPARSIFICATION; COMPONENTS; PATHS
443,300518,An optimality proof of the LRU-K page replacement algorithm,buffering; LRU; LRU-K; optimality; page-replacement,
444,300519,Complexity estimates depending on condition and round-off error,conditioning; error analysis; feasibility of polynomial systems; iterative methods,BEZOUT-THEOREM; COMPUTATION
445,293348,An optimal algorithm for approximate nearest neighbor searching in fixed dimensions,approximation algorithms; box-decomposition trees; closest-point queries; nearest neighbor searching; post-office problem; priority search,CLOSEST-POINT QUERIES; VECTOR QUANTIZATION; TREES
446,293349,"Electrostatic fields without singularities: Theory, algorithms and error analysis",boundary elements method; electrostatic field,BOUNDARY ELEMENT METHODS; INTEGRALS; APPROXIMATION; QUADRATURE; DOMAINS
447,293350,Private information retrieval,,RANDOM REDUCTIONS; SECURITY
448,293351,Efficient noise-tolerant learning from statistical queries,computational learning theory; machine learning,EXAMPLES
449,293352,Ordered chaining calculi for first-order theories of transitive relations,chaining calculi; equational logic; reduction orderings; rewrite systems; term rewriting; transitive relations,
450,293353,On parallel evaluation of game trees,alpha-beta pruning; parallel speedup; AND/OR tree,SEARCH
451,290180,Polynomial time approximation schemes for Euclidean traveling salesman and other geometric problems,approximation algorithms; traveling salesman problem; Steiner problem; network design; matching,STEINER PROBLEM; SPANNING-TREES; COMPLEXITY; TSP; ALGORITHMS; WEIGHT
452,290181,Beyond the flow decomposition barrier,combinatorial optimization; maximum flows,ALGORITHM; EFFICIENCY
453,290182,Object identity as a query language primitive,computable query; inheritance; object identity; object-oriented database; query language; regular tree; rule-base language,DATA MODEL; SEMANTICS
454,290183,On the space complexity of randomized synchronization,consensus; lower bounds; space complexity,SHARED-MEMORY; CONSENSUS; OBJECTS
455,290184,Noise-tolerant distribution-free learning of general geometric concepts,computational learning; geometric concepts,ALGORITHMS; EXAMPLES; QUERIES
456,285058,On the decidability and axiomatization of query finiteness in deductive databases,axiomatization; computability; finite queries; finiteness constraints; horizontal decompositions; partial constraints; query processing,INCLUSION DEPENDENCIES
457,285059,A threshold of in n for approximating set cover,approximation ratio; set cover,INTERACTIVE PROOF SYSTEMS; OPTIMIZATION; COMPLEXITY; KNOWLEDGE; HARDNESS; NUMBER
458,285060,Property testing and its connection to learning and approximation,approximation algorithms; computational learning theory; graph algorithms,RANDOMIZED COMPLEXITY; REGULARITY LEMMA; GRAPH PROPERTIES; ALGORITHMS
459,285057,Formal verification of complex coherence protocols using symbolic state models,cache coherence protocols; formal methods; shared-memory multiprocessors; state abstraction; state enumeration methods,CACHE COHERENCE
460,278303,Efficient descriptor-vector multiplications in stochastic automata networks,generalized tensor algebra; Markov chains; stochastic automata networks; vector-descriptor multiplication,PETRI NETS; PARALLEL SYSTEMS
461,278304,Lower bounds for distributed coin-flipping and randomized consensus,consensus; impossibility; randomization,
462,278305,Fault-tolerant wait-free shared objects,asynchronous computing; fault-tolerance; implementation; MIMD; shared memory; shared objects; synchronization,DISTRIBUTED CONSENSUS; BYZANTINE AGREEMENT; IMPOSSIBILITY
463,278306,Proof verification and the hardness of approximation problems,NP-completeness; optimization; proof verification; randomness,OPTIMIZATION PROBLEMS; COMPLEXITY; ALGORITHMS; SYSTEMS; PROGRAM; TIME; SATISFIABILITY; POLYNOMIALS; PROTOCOLS; KNAPSACK
464,274788,How to learn an unknown environment I: The rectilinear case,competitive algorithms; computational geometry; gallery tour; L1 metric; on-line algorithms; polygon with obstacles; shortest path,PATHS
465,274791,Approximate graph coloring by semidefinite programming,approximation algorithms; chromatic number; graph coloring; NP-completeness; randomized algorithms,COMBINATORIAL OPTIMIZATION; PERFORMANCE GUARANTEE; ALGORITHMS; NUMBER
466,274810,Computing homology groups of simplicial complexes in R-3,d dimensions; generators; homology; homotopy; simplicial complexes; topology,ALGORITHMS
467,274812,Randomized binary search trees,balanced trees; probabilistic algebraic specification; randomized data structures; search trees; self-organizing data structures,BALANCED TREES
468,274816,On contention resolution protocols and associated probabilistic phenomena,parallel computation; hash functions; emulation protocols,MULTIPLE-ACCESS CHANNELS; CONFLICTS
469,273870,Relational expressive power of constraint query languages,constraints; constraint query language; database; expressive power; relational calculus,ORDERED STRUCTURES; DEFINABLE SETS; MODEL; FIELD
470,273884,Implementing sequentially consistent shared objects using broadcast and point-to-point communication,distributed shared memory; formal methods; input/output automata; ordered multicast; Orca programming language; replicated data,INTERPROCESS COMMUNICATION; DISTRIBUTED SYSTEMS; LINEARIZABILITY; CLOCKS
471,273901,Probabilistic checking of proofs: A new characterization of NP,approximation algorithms; complexity hierarchies; computations on polynomials and finite fields; error-correcting codes; hardness of approximations; interactive computation; NP-completeness; probabilistic computation; proof checking; reducibility and completeness; trade-offs/relations among complexity; measures,SYSTEMS; CONSTRUCTIONS; APPROXIMATE; COMPLEXITY; HARDNESS
472,273915,Explicit OR-dispersers with polylogarithmic degree,derandomization; expander graphs; explicit constructions; hashing lemmas; hardness of approximation; imperfect sources of randomness; measures of information; pseudo-tandem generators; randomized computation; time-space tradeoffs,RANDOMNESS
